year,month,day,stop_was_initiated,issuing_officer_rank,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,suspect_arrested_flag,summons_issued_flag,officer_in_uniform_flag,frisked_flag,searched_flag,weapon_found_flag,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,stop_location_x,stop_location_y,stop_location_boro_name,seconds
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,Y,1,Y,Y,Y,Y,32.0,MALE,WHITE HISPANIC,51.0,185.0,MED,BRO,BLK,1023709,242230,BRONX,40020.0
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,N,0,Y,Y,N,N,30.0,FEMALE,WHITE HISPANIC,6.0,240.0,MED,BRO,Other,1023709,242230,BRONX,40020.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,30,Y,Y,0,Y,N,Y,N,22.0,FEMALE,BLACK,54.0,110.0,THN,BRO,BLK,1057839,194626,QUEENS,17520.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,11,Y,Y,0,N,N,N,N,34.0,MALE,BLACK,57.0,145.0,THN,BRO,BLK,986976,198790,MANHATTAN,72180.0
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,0,N,N,Y,Y,17.0,MALE,BLACK,63.0,180.0,THN,BRO,BLK,987028,203682,MANHATTAN,73800.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,0,Y,Y,Y,N,17.0,MALE,BLACK,57.0,130.0,THN,BLK,BLK,1000864,229503,MANHATTAN,75840.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,0,Y,Y,Y,N,18.0,MALE,BLACK,59.0,180.0,THN,BRO,BLK,1000864,229503,MANHATTAN,75840.0
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,0,Y,N,N,N,0.0,MALE,BLACK HISPANIC,51.0,160.0,MED,BRO,Other,997279,238014,MANHATTAN,60900.00000000001
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,0,Y,N,N,N,0.0,MALE,WHITE HISPANIC,6.0,195.0,MED,BRO,Other,997279,238014,MANHATTAN,60900.00000000001
2020,January,Thursday,Based on Radio Run,POM,2,Other,0,Y,Y,0,Y,Y,Y,N,25.0,MALE,WHITE HISPANIC,55.0,140.0,THN,BRO,Other,1001036,245930,MANHATTAN,76200.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,2,Y,Y,0,N,Y,Y,Y,17.0,MALE,BLACK HISPANIC,59.0,210.0,Other,BRO,Other,1007284,239635,BRONX,77700.0
2020,January,Wednesday,Based on Self Initiated,POM,1,Other,3,Y,N,0,Y,Y,N,N,30.0,MALE,BLACK,51.0,200.0,MED,BRO,BLK,1018412,259882,BRONX,13140.0
2020,January,Thursday,Based on Self Initiated,POM,1,Other,2,Y,N,0,N,Y,Y,N,25.0,FEMALE,WHITE HISPANIC,55.0,120.0,THN,BRO,BLK,1011583,254138,BRONX,9180.0
2020,January,Thursday,Based on Self Initiated,POM,2,Other,5,Y,N,0,N,Y,N,N,25.0,MALE,BLACK,64.0,200.0,MED,BRO,BLK,1017815,257380,BRONX,79560.0
2020,January,Friday,Based on Self Initiated,POF,1,Other,2,Y,N,0,N,Y,N,N,0.0,MALE,BLACK,59.0,150.0,THN,BRO,Other,1010674,252373,BRONX,4560.0
2020,January,Wednesday,Based on Radio Run,POM,5,Other,15,Y,N,0,Y,Y,N,N,0.0,MALE,WHITE HISPANIC,59.0,20.0,Other,BLK,BLK,982718,178208,BROOKLYN,19800.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,Y,0,N,N,N,Y,27.0,MALE,WHITE,63.0,215.0,MED,BLU,Other,1011467,192235,QUEENS,10500.0
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,45,Y,N,0,Y,Y,N,N,35.0,MALE,BLACK,57.0,190.0,THN,BRO,BLK,1055623,182589,QUEENS,70500.0
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,45,Y,N,0,Y,Y,N,N,59.0,MALE,BLACK,51.0,200.0,MED,BRO,Other,1055623,182589,QUEENS,70500.0
2020,January,Thursday,Based on Radio Run,POM,0,BURGLARY,20,Y,N,0,Y,Y,N,N,36.0,MALE,BLACK,511.0,180.0,THN,BRO,BLK,1055623,182589,QUEENS,72000.0
2020,January,Friday,Based on Radio Run,POM,10,BURGLARY,12,Y,Y,0,Y,Y,Y,N,25.0,MALE,BLACK,59.0,150.0,THN,BRO,BLK,1035714,206347,QUEENS,47880.0
2020,January,Wednesday,Based on Radio Run,POM,10,BURGLARY,11,Y,Y,0,Y,N,Y,N,15.0,MALE,WHITE HISPANIC,55.0,110.0,THN,BRO,Other,1046653,221430,QUEENS,64440.00000000001
2020,January,Wednesday,Based on Radio Run,POM,10,BURGLARY,11,Y,Y,0,Y,N,Y,N,15.0,MALE,WHITE,55.0,120.0,THN,BRO,BLK,1046653,221430,QUEENS,64440.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,Other,17,Y,N,0,Y,Y,N,N,25.0,MALE,BLACK,62.0,180.0,THN,BRO,Other,997615,222684,MANHATTAN,4320.0
2020,January,Friday,Based on Self Initiated,POF,1,Other,5,Y,N,0,N,Y,Y,N,0.0,MALE,BLACK,58.0,250.0,Other,BRO,Other,1015477,257488,BRONX,7740.000000000001
2020,January,Saturday,Based on Radio Run,POM,0,Other,5,Y,N,0,Y,Y,Y,Y,31.0,MALE,WHITE HISPANIC,58.0,160.0,MED,BRO,BLK,1016554,210108,QUEENS,20580.0
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,0,Y,N,N,N,16.0,MALE,WHITE,58.0,130.0,THN,BRO,Other,989085,205728,MANHATTAN,61140.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,30,Y,N,0,Y,Y,N,N,16.0,MALE,BLACK,55.0,160.0,Other,Other,Other,988796,205519,MANHATTAN,61500.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,0,Y,N,N,N,16.0,MALE,BLACK,56.0,135.0,THN,BRO,Other,989085,205728,MANHATTAN,61500.00000000001
