SUSPECT_ARRESTED_FLAG,YEAR,OBSERVED_DURATION_MINUTES,DAY,MONTH,SUSPECT_WEIGHT,SUSPECT_HEIGHT,SUSPECT_REPORTED_AGE,STOP_DURATION_MINUTES,STOP_LOCATION_X,STOP_LOCATION_Y,SUMMONS_ISSUED_FLAG,SECONDS
N,2020,1,Friday,January,180.0,58.0,52.0,1,1015758,180429,0,81000.0
N,2020,1,Friday,January,205.0,6.0,24.0,20,1007969,197280,0,51600.0
N,2020,1,Friday,January,130.0,57.0,14.0,20,1007969,197280,0,51600.0
N,2020,1,Saturday,January,190.0,62.0,20.0,5,1011467,251843,0,66000.0
Y,2020,2,Monday,January,135.0,57.0,25.0,15,987003,164086,0,79500.0
N,2020,1,Monday,January,140.0,62.0,19.0,5,1005419,167381,0,45600.0
N,2020,1,Sunday,January,200.0,58.0,0.0,5,1001585,179598,0,29760.000000000004
N,2020,1,Wednesday,January,160.0,58.0,30.0,1,1010150,181934,0,6600.0
N,2020,0,Wednesday,January,150.0,51.0,27.0,10,1015537,186340,0,8160.000000000001
N,2020,1,Tuesday,January,200.0,511.0,35.0,121,991283,203083,0,43920.0
N,2020,2,Tuesday,January,180.0,58.0,27.0,10,1003620,251150,0,46200.0
Y,2020,1,Monday,January,190.0,6.0,20.0,10,1022478,243674,0,79620.0
N,2020,1,Saturday,January,150.0,56.0,15.0,1,1015948,247629,0,72960.0
N,2020,10,Monday,January,163.0,55.0,14.0,10,993157,151004,0,51600.0
N,2020,10,Monday,January,180.0,55.0,15.0,10,993157,151004,0,53100.0
N,2020,0,Saturday,January,190.0,55.0,17.0,15,1019312,187443,0,70680.0
N,2020,1,Saturday,January,9.0,0.0,17.0,15,1019312,187443,0,70200.0
N,2020,1,Monday,January,180.0,56.0,29.0,15,997936,183468,0,37080.0
N,2020,0,Wednesday,January,170.0,6.0,24.0,20,999801,193031,0,81360.0
N,2020,0,Monday,January,2.0,0.0,22.0,4,1000965,192831,0,67200.0
Y,2020,1,Saturday,January,225.0,58.0,22.0,4,1032239,196852,0,67440.0
N,2020,1,Sunday,January,150.0,58.0,20.0,15,1041390,223051,0,56640.0
N,2020,15,Sunday,January,150.0,59.0,21.0,15,1041390,223051,0,56640.0
Y,2020,1,Sunday,January,150.0,57.0,15.0,10,1041390,223051,0,56640.0
Y,2020,2,Thursday,January,130.0,55.0,17.0,10,1000864,229503,0,75840.0
Y,2020,2,Thursday,January,140.0,56.0,17.0,10,1000864,229503,0,75840.0
Y,2020,2,Thursday,January,120.0,55.0,19.0,10,1000864,229503,0,75840.0
Y,2020,1,Tuesday,January,150.0,511.0,31.0,31,990844,228781,0,68220.0
N,2020,1,Monday,January,146.0,57.0,58.0,5,997741,239807,0,11100.0
N,2020,3,Wednesday,January,160.0,58.0,24.0,6,998580,235650,0,76320.0
N,2020,1,Tuesday,January,0.0,0.0,0.0,11,1000604,233858,0,240.00000000000003
Y,2020,2,Tuesday,January,180.0,58.0,41.0,20,1007783,232525,0,18660.0
N,2020,1,Thursday,January,130.0,54.0,33.0,8,1026884,261298,0,4080.0000000000005
Y,2020,1,Tuesday,January,160.0,58.0,16.0,2,1002827,171480,0,58620.00000000001
N,2020,1,Sunday,January,150.0,511.0,21.0,25,999157,193168,0,73200.0
Y,2020,0,Monday,January,180.0,51.0,35.0,20,998774,224984,0,32700.000000000004
N,2020,2,Thursday,January,140.0,511.0,18.0,1,1002381,230885,0,62220.00000000001
N,2020,2,Thursday,January,140.0,54.0,21.0,1,1003153,230466,0,62220.00000000001
Y,2020,1,Thursday,January,130.0,6.0,57.0,14,1002455,250128,0,55260.0
N,2020,1,Saturday,January,150.0,55.0,35.0,10,1010356,250885,1,56100.0
Y,2020,10,Saturday,January,120.0,52.0,44.0,4,989382,209178,0,37800.0
N,2020,5,Tuesday,January,140.0,51.0,19.0,20,1000841,239991,0,43920.0
Y,2020,1,Wednesday,January,185.0,62.0,30.0,2,1012929,241418,0,7200.0
N,2020,1,Monday,January,160.0,58.0,40.0,5,1010196,241562,0,63300.00000000001
Y,2020,1,Tuesday,January,170.0,58.0,26.0,12,990921,149183,0,44640.0
N,2020,2,Friday,January,165.0,511.0,16.0,5,1017910,199143,0,53160.0
N,2020,2,Friday,January,145.0,58.0,15.0,5,1017910,199143,0,53160.0
N,2020,1,Wednesday,January,250.0,511.0,22.0,10,1059109,198196,0,38880.0
Y,2020,1,Tuesday,January,260.0,55.0,70.0,5,1001757,241676,0,68400.0
N,2020,1,Wednesday,January,150.0,55.0,30.0,9,1010956,251480,0,69900.0
N,2020,1,Wednesday,January,190.0,58.0,30.0,9,1010956,251480,0,69900.0
N,2020,1,Wednesday,January,190.0,58.0,30.0,9,1010956,251480,0,69900.0
N,2020,1,Saturday,January,150.0,56.0,16.0,3,1009015,172256,0,76620.0
N,2020,1,Tuesday,January,155.0,61.0,26.0,5,1046340,197704,0,59580.00000000001
N,2020,1,Tuesday,January,130.0,58.0,25.0,5,1046340,197704,0,59580.00000000001
N,2020,5,Tuesday,January,180.0,6.0,28.0,1,1007341,215448,0,80700.0
N,2020,1,Wednesday,January,160.0,6.0,19.0,4,938426,137546,0,48000.0
N,2020,2,Thursday,January,210.0,59.0,0.0,10,989426,199570,0,20100.0
N,2020,0,Tuesday,January,0.0,0.0,0.0,14,991972,217921,0,65940.0
N,2020,0,Tuesday,January,0.0,0.0,0.0,14,991972,217921,0,65940.0
N,2020,1,Thursday,January,0.0,0.0,0.0,2,1002029,232057,0,84600.0
N,2020,1,Friday,January,160.0,5.0,23.0,2,1013977,254492,0,61200.00000000001
N,2020,1,Wednesday,January,150.0,56.0,25.0,5,1007017,178671,0,2820.0
Y,2020,0,Tuesday,January,130.0,52.0,28.0,18,984337,202403,0,58740.00000000001
Y,2020,0,Tuesday,January,180.0,58.0,28.0,18,984337,202403,0,58740.00000000001
N,2020,0,Tuesday,January,0.0,0.0,14.0,24,991972,217921,0,65340.00000000001
N,2020,0,Tuesday,January,0.0,0.0,0.0,14,991972,217921,0,65940.0
