YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2020,Based on Radio Run,POM,1,LARCENY,6,Y,Y,N,Y,Y,Y,N,Y,Y,Y,15,MALE,BLACK,5.11,150,THN,BRO,BLK,990900,202647,QUEENS,62280.00000000001
2020,Based on Radio Run,POM,1,LARCENY,6,Y,Y,N,Y,Y,Y,N,Y,Y,Y,15,MALE,BLACK,5.9,120,THN,BRO,BLK,990900,202647,QUEENS,62280.00000000001
2020,Based on Radio Run,POM,1,BURGLARY,10,Y,Y,N,N,N,Y,Y,Y,Y,Y,37,MALE,BLACK,6.2,250,Other,BRO,BLK,1016755,208122,QUEENS,1500.0
2020,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,N,Y,N,Y,N,Y,Y,Y,36,MALE,BLACK,6.1,185,THN,BLK,BLK,1047891,216279,QUEENS,16080.000000000002
2020,Based on Radio Run,POM,1,ASSAULT,15,Y,Y,N,Y,Y,Y,N,Y,Y,Y,40,MALE,BLACK,5.1,180,MED,BRO,BLK,990477,203734,MANHATTAN,58260.0
2020,Based on Self Initiated,POM,1,Other,5,Y,Y,N,N,N,Y,N,Y,Y,Y,27,MALE,BLACK,5.7,150,MED,BRO,BLK,1000977,191795,BROOKLYN,72660.0
2020,Based on Radio Run,POM,5,LARCENY,30,Y,Y,N,N,Y,Y,N,(,Y,Y,23,MALE,BLACK,5.5,165,MED,BRO,BLK,1048564,216315,QUEENS,59400.00000000001
2020,Based on Radio Run,POM,5,LARCENY,30,Y,Y,N,N,Y,Y,N,(,Y,Y,22,MALE,BLACK,6.3,230,Other,BRO,BLK,1048564,216315,QUEENS,59400.00000000001
2020,Based on Radio Run,POM,10,ROBBERY,8,Y,Y,N,Y,Y,Y,N,Y,Y,Y,17,MALE,BLACK,6.1,170,THN,BRO,BLK,996684,238064,MANHATTAN,74700.0
2020,Based on Radio Run,POF,1,LARCENY,8,Y,Y,N,Y,N,Y,N,Y,Y,Y,24,FEMALE,BLACK,5.1,155,MED,BRO,BLK,1022549,191298,QUEENS,63480.00000000001
2020,Based on C/W on Scene,POF,1,LARCENY,4,Y,Y,N,Y,N,Y,N,Y,Y,Y,55,MALE,BLACK,5.4,120,THN,BRO,Other,997961,222550,MANHATTAN,38640.0
2020,Based on C/W on Scene,POF,1,Other,5,Y,Y,N,Y,N,N,N,Y,Y,Y,47,FEMALE,BLACK,5.2,110,THN,BRO,Other,1023664,253342,BRONX,4500.0
2020,Based on C/W on Scene,POF,1,Other,5,Y,Y,N,Y,N,N,N,Y,Y,Y,53,MALE,BLACK,5.9,160,MED,BRO,BLK,1023664,253342,BRONX,4500.0
2020,Based on C/W on Scene,POM,5,ROBBERY,10,Y,N,N,Y,Y,Y,N,Y,Y,Y,40,MALE,BLACK,5.1,180,THN,BRO,BLK,938750,169404,STATEN ISL,6300.0
2020,Based on Radio Run,POM,1,ROBBERY,10,Y,Y,N,N,Y,Y,N,Y,Y,Y,18,MALE,WHITE HISPANIC,5.1,150,MED,BRO,BLK,1011907,242731,BRONX,60780.00000000001
2020,Based on C/W on Scene,POM,1,ROBBERY,9,Y,Y,Y,Y,N,Y,N,(,Y,Y,41,MALE,BLACK,5.9,180,THN,BRO,Other,996099,181303,BROOKLYN,29220.000000000004
2020,Based on Radio Run,POM,1,BURGLARY,5,Y,Y,N,Y,Y,Y,N,Y,Y,Y,49,MALE,BLACK,5.11,150,MED,BRO,BLK,998919,177819,BROOKLYN,3360.0
2020,Based on Radio Run,POM,5,ASSAULT,8,Y,Y,N,Y,N,Y,N,Y,Y,Y,49,MALE,BLACK,5.11,190,MED,BRO,BLK,1043608,156107,QUEENS,13440.0
2020,Based on C/W on Scene,POM,1,BURGLARY,1,Y,Y,N,Y,N,Y,N,Y,Y,Y,53,MALE,WHITE,6.1,220,MED,BRO,BLK,1002242,246703,MANHATTAN,30540.000000000004
2020,Based on Radio Run,POM,1,ASSAULT,10,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,34,MALE,BLACK,5.8,150,THN,BLK,BLK,1017140,183797,BROOKLYN,63120.00000000001
2020,Based on Radio Run,POM,2,LARCENY,13,Y,Y,N,Y,N,Y,N,Y,Y,Y,42,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK,1010870,199051,QUEENS,71700.0
2020,Based on Radio Run,POM,1,ROBBERY,4,Y,Y,N,N,N,Y,N,(,Y,Y,16,MALE,BLACK,5.6,160,MED,BRO,Other,984912,203704,MANHATTAN,51060.0
