YEAR,MONTH,DAY,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME,SECONDS
2020,January,Wednesday,Based on Radio Run,POM,2,Other,2,Y,Y,N,Y,N,Y,N,18.0,MALE,BLACK,51.0,200.0,Other,BLK,BLK,998486,230978,10026,MANHATTAN,3600.0
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,Y,Y,Y,Y,Y,Y,32.0,MALE,WHITE HISPANIC,51.0,185.0,MED,BRO,BLK,1023709,242230,10472,BRONX,40020.0
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,N,N,Y,Y,N,N,30.0,FEMALE,WHITE HISPANIC,6.0,240.0,MED,BRO,Other,1023709,242230,10472,BRONX,40020.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,30,Y,Y,N,Y,N,Y,N,22.0,FEMALE,BLACK,54.0,110.0,THN,BRO,BLK,1057839,194626,11411,QUEENS,17520.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,11,Y,Y,N,N,N,N,N,34.0,MALE,BLACK,57.0,145.0,THN,BRO,BLK,986976,198790,10002,MANHATTAN,72180.0
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,N,N,N,Y,Y,17.0,MALE,BLACK,63.0,180.0,THN,BRO,BLK,987028,203682,10003,MANHATTAN,73800.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,N,Y,Y,Y,N,17.0,MALE,BLACK,57.0,130.0,THN,BLK,BLK,1000864,229503,10029,MANHATTAN,75840.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,N,Y,Y,Y,N,18.0,MALE,BLACK,59.0,180.0,THN,BRO,BLK,1000864,229503,10029,MANHATTAN,75840.0
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,N,Y,N,N,N,0.0,MALE,BLACK HISPANIC,51.0,160.0,MED,BRO,Other,997279,238014,10031,MANHATTAN,60900.00000000001
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,N,Y,N,N,N,0.0,MALE,WHITE HISPANIC,6.0,195.0,MED,BRO,Other,997279,238014,10031,MANHATTAN,60900.00000000001
2020,January,Thursday,Based on Radio Run,POM,2,Other,0,Y,Y,N,Y,Y,Y,N,25.0,MALE,WHITE HISPANIC,55.0,140.0,THN,BRO,Other,1001036,245930,10032,MANHATTAN,76200.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,2,Y,Y,N,N,Y,Y,Y,17.0,MALE,BLACK HISPANIC,59.0,210.0,Other,BRO,Other,1007284,239635,10451,BRONX,77700.0
2020,January,Wednesday,Based on Self Initiated,POM,1,Other,3,Y,N,N,Y,Y,N,N,30.0,MALE,BLACK,51.0,200.0,MED,BRO,BLK,1018412,259882,10467,BRONX,13140.0
2020,January,Thursday,Based on Self Initiated,POM,1,Other,2,Y,N,N,N,Y,Y,N,25.0,FEMALE,WHITE HISPANIC,55.0,120.0,THN,BRO,BLK,1011583,254138,10468,BRONX,9180.0
2020,January,Thursday,Based on Self Initiated,POM,2,Other,5,Y,N,N,N,Y,N,N,25.0,MALE,BLACK,64.0,200.0,MED,BRO,BLK,1017815,257380,10467,BRONX,79560.0
2020,January,Friday,Based on Self Initiated,POF,1,Other,2,Y,N,N,N,Y,N,N,0.0,MALE,BLACK,59.0,150.0,THN,BRO,Other,1010674,252373,10468,BRONX,4560.0
2020,January,Wednesday,Based on Radio Run,POM,5,Other,15,Y,N,N,Y,Y,N,N,0.0,MALE,WHITE HISPANIC,59.0,20.0,Other,BLK,BLK,982718,178208,11232,BROOKLYN,19800.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,Y,N,N,N,N,Y,27.0,MALE,WHITE,63.0,215.0,MED,BLU,Other,1011467,192235,11385,QUEENS,10500.0
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,45,Y,N,N,Y,Y,N,N,35.0,MALE,BLACK,57.0,190.0,THN,BRO,BLK,1055623,182589,11413,QUEENS,70500.0
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,45,Y,N,N,Y,Y,N,N,59.0,MALE,BLACK,51.0,200.0,MED,BRO,Other,1055623,182589,11413,QUEENS,70500.0
2020,January,Thursday,Based on Radio Run,POM,0,BURGLARY,20,Y,N,N,Y,Y,N,N,36.0,MALE,BLACK,511.0,180.0,THN,BRO,BLK,1055623,182589,11413,QUEENS,72000.0
2020,January,Friday,Based on Radio Run,POM,10,BURGLARY,12,Y,Y,N,Y,Y,Y,N,25.0,MALE,BLACK,59.0,150.0,THN,BRO,BLK,1035714,206347,11367,QUEENS,47880.0
2020,January,Wednesday,Based on Radio Run,POM,10,BURGLARY,11,Y,Y,N,Y,N,Y,N,15.0,MALE,WHITE HISPANIC,55.0,110.0,THN,BRO,Other,1046653,221430,11361,QUEENS,64440.00000000001
2020,January,Wednesday,Based on Radio Run,POM,10,BURGLARY,11,Y,Y,N,Y,N,Y,N,15.0,MALE,WHITE,55.0,120.0,THN,BRO,BLK,1046653,221430,11361,QUEENS,64440.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,Other,17,Y,N,N,Y,Y,N,N,25.0,MALE,BLACK,62.0,180.0,THN,BRO,Other,997615,222684,(null),MANHATTAN,4320.0
2020,January,Friday,Based on Self Initiated,POF,1,Other,5,Y,N,N,N,Y,Y,N,0.0,MALE,BLACK,58.0,250.0,Other,BRO,Other,1015477,257488,10468,BRONX,7740.000000000001
2020,January,Saturday,Based on Radio Run,POM,0,Other,5,Y,N,N,Y,Y,Y,Y,31.0,MALE,WHITE HISPANIC,58.0,160.0,MED,BRO,BLK,1016554,210108,11373,QUEENS,20580.0
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,N,Y,N,N,N,16.0,MALE,WHITE,58.0,130.0,THN,BRO,Other,989085,205728,10009,MANHATTAN,61140.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,30,Y,N,N,Y,Y,N,N,16.0,MALE,BLACK,55.0,160.0,Other,Other,Other,988796,205519,10003,MANHATTAN,61500.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,N,Y,N,N,N,16.0,MALE,BLACK,56.0,135.0,THN,BRO,Other,989085,205728,10009,MANHATTAN,61500.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,N,Y,N,N,N,0.0,MALE,BLACK,55.0,135.0,THN,BRO,BLK,989085,205728,10009,MANHATTAN,61500.00000000001
2020,January,Saturday,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,N,N,Y,N,N,29.0,MALE,BLACK,58.0,180.0,MED,BRO,BLK,998281,225348,10128,MANHATTAN,47640.0
